DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,Tf4idfStrategy,0.9398814563928874,.9398
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,0.9442638738413387,.9442
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,0.9329940627650553,.9329
TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TfidfStrategy,MaxStrategy,0.9219482862297053,.9219
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,0.9332389714555319,.9332
TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,0.9423192229284086,.9423
TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,0.9439826526924467,.9439
TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TKPertStrategy,TruncateStrategy,0.9014464329492523,.9014
TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,0.9427430093209055,.9427
TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,0.9275327771156139,.9275
TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,0.9279731993299831,.9279
TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TfidfStrategy,TfidfStrategy,0.9190441355766887,.9190
