NT2PhageStrategy,NT2BactStrategy,MegaDNAPhageStrategy,MegaDNABactStrategy,DNABERTPhageStrategy,DNABERTBactStrategy,F1Score1,F1Score2,F1Score3,F1Score4,F1Score5,Average
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,0.9639727473258972,0.9579913020133972,0.9619883298873901,,,.9613
MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,MaxStrategy,TKPertStrategy,0.9517840147018433,0.9546331763267517,0.9626032114028931,,,.9563
MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,0.9423828125,0.9585342407226562,0.9616690874099731,,,.9541
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,0.9601167440414429,0.9577874541282654,0.962890625,,,.9602
MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,TKPertStrategy,TKPertStrategy,0.959571361541748,0.9625304341316223,0.9560975432395935,,,.9593
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,0.963468074798584,0.959571361541748,0.9551374912261963,,,.9593
MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,TKPertStrategy,MaxStrategy,0.9591439962387085,0.960622251033783,0.9518248438835144,,,.9571
MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,0.9639727473258972,0.9601554870605469,0.9533980488777161,,,.9591
MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,0.9533527493476868,0.9544573426246643,0.9537712931632996,,,.9538
MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,TKPertStrategy,TKPertStrategy,0.9549636840820312,0.9505334496498108,0.9580896496772766,,,.9545
MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,TruncateStrategy,TruncateStrategy,0.9546120166778564,0.9639024138450623,0.9540396928787231,,,.9575
MaxStrategy,TfidfStrategy,MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.961240291595459,0.9610894918441772,0.9525193572044373,,,.9582
MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,0.9528897404670715,0.9658869504928589,0.9580487608909607,,,.9589
MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,0.9654501080513,0.963468074798584,0.954172670841217,,,.9610
MaxStrategy,TfidfStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,0.9511494040489197,0.9552529454231262,0.9515122175216675,,,.9526
MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,0.953533411026001,0.9527520537376404,0.9533980488777161,,,.9532
MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,0.9649122953414917,0.9653827548027039,0.9564375877380371,,,.9622
MaxStrategy,TfidfStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,TruncateStrategy,0.955974817276001,0.9587578773498535,0.9498295187950134,,,.9548
MaxStrategy,TfidfStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,0.9467625617980957,0.9447380900382996,0.9639727473258972,,,.9518
MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,TruncateStrategy,0.9293128848075867,0.9619511961936951,0.9616318345069885,,,.9509
MaxStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,TKPertStrategy,TruncateStrategy,0.963468074798584,0.9519650936126709,0.9563953280448914,,,.9572
MaxStrategy,TfidfStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,0.9611650705337524,0.9619511961936951,0.9570255875587463,,,.9600
MaxStrategy,TfidfStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,0.9584138989448547,0.9560975432395935,0.9624573588371277,,,.9589
MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,TKPertStrategy,TruncateStrategy,0.9497098922729492,0.9342925548553467,0.957198441028595,,,.9470
MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,0.940893828868866,0.9658203125,0.9462989568710327,,,.9510
MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,TruncateStrategy,TKPertStrategy,0.9563953280448914,0.9581126570701599,0.9592233300209045,,,.9579
MaxStrategy,TfidfStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.9663578867912292,0.9632533192634583,0.9448511600494385,,,.9581
MaxStrategy,TfidfStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,0.9327398538589478,0.956817090511322,0.9433040022850037,,,.9442
MaxStrategy,TfidfStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,0.9509470462799072,0.9566910266876221,0.9572815299034119,,,.9549
